smiles,PI3K-beta,PI3K-alpha,PI3K-delta,PI3K-gamma
COc1ncc(-c2cc(OCC3(C)COC3)c3ncnc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,1,0,1,1
C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1cc[nH]n1,1,0,1,1
C[C@H](Nc1ncnc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1-c1ccc(O)cc1,1,0,1,1
COc1ncc(-c2cc3c(c(OC[C@H]4CN(CC(C)(C)O)CCO4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
CN(C)CCN(C)c1ccc(C#N)cc1S(=O)(=O)N(C)/N=C/c1cnn2ccc(C#N)cc12,1,0,1,0
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(=O)(=O)CCN3CCOCC3)CC2)n1,1,0,1,0
CN(C)CCCOc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(S(C)(=O)=O)CC2)n1,1,0,1,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2n1-c1cncc(F)c1,1,0,1,1
Cn1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nc1C1(Cc2ccccc2)CC1,1,0,1,1
CN(C)S(=O)(=O)n1cc(-c2nc(-c3nc(C4(c5ccccc5)CC4)n(C)n3)cnc2N)cn1,1,0,1,1
COCCS(=O)(=O)Nc1cc(-c2cc3c(c(O[C@@H](C)CN4CCC(C(C)(C)O)CC4)c2)COC3)cnc1OC,1,0,1,1
COc1ncc(-c2cc3c(c(OCCN4CCC(C(C)(C)O)CC4)c2)CCOC3)cc1NS(C)(=O)=O,1,0,1,1
COc1ncc(-c2cc3c(c(NC(=O)C4CCCN(C)C4)c2)COC3)cc1NS(C)(=O)=O,1,0,1,1
COCCS(=O)(=O)Nc1cc(-c2cc3c(c(O[C@H](C)CN4CCC(C(C)(C)O)CC4)c2)COC3)cnc1OC,1,0,1,1
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1ccccc1,1,0,1,1
COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3C[C@@H](C)N(C)[C@@H](C)C3)cc2)c1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCN(C(C)C)CC3)cc2)c1,1,0,1,1
COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCCC3)c(F)c2)c1,1,0,1,1
