smiles,PI3K-beta,PI3K-alpha,PI3K-delta,PI3K-gamma
Cc1ncnc(N2CCOCC2)c1C#Cc1cncc(NS(=O)(=O)c2ccc(F)cc2F)c1,0,1,0,0
Cc1ncnc(N2CCOCC2)c1C#Cc1cncc(NS(=O)(=O)c2ccccc2)c1,0,1,0,0
CCc1ncnc(N2CCN(C(C)=O)CC2)c1C#Cc1cnc(C)c(NS(=O)(=O)c2ccc(F)cc2)c1,0,1,0,0
Cc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1ccc(Cl)s1,0,1,0,0
CCc1ncnc(N2CCC(O)CC2)c1C#Cc1cnc(C)c(NS(=O)(=O)c2ccc(F)cc2)c1,0,1,0,0
Cc1nc(N)nc2c1cc(-c1cnc3[nH]ccc3c1)c(=O)n2C1CCCC1,0,1,0,0
COc1ccc2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5cccnc5)cc4C3=O)c2c1,0,1,0,0
COc1cc(F)c2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N6CCOCC6)cc5)cc4C3=O)c2c1,0,1,0,0
COc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1ccccc1OC(F)(F)F,0,1,0,0
CNC(=O)[C@H](C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4sc(C)nc4C)c3)cc2c1=O,0,1,0,0
COc1ncc(-c2ccc3ncc(NC(=O)N4CCC[C@H]4C(N)=O)c(=O)n3c2)cc1NS(=O)(=O)c1ccc(F)cc1Cl,0,1,0,0
CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1,0,1,0,1
Cc1ncnc(N2CCOCC2)c1C#Cc1c[nH]c(=O)c(NS(=O)(=O)c2ccc(F)cc2F)c1,0,1,0,0
Cc1ncnc(N2CCOCC2)c1C#Cc1cncc(NS(=O)(=O)c2cccs2)c1,0,1,0,0
COc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1ccc(C)o1,0,1,0,0
CCc1ncnc(N2CCC(C)(O)CC2)c1C#Cc1cnc(C)c(NS(C)(=O)=O)c1,0,1,0,0
CCOc1cnc(CN2CCC(n3cc4cc(C(=O)N5CCN(Cc6ccc(C(F)(F)F)cc6)CC5)ccc4n3)CC2)cn1,0,1,0,0
Cc1cc(S(=O)(=O)Nc2cc(C#Cc3c(C)ncnc3N3CCOCC3)cnc2C)c(C)s1,0,1,0,0
CCc1ncnc(N2CCOCC2)c1C#Cc1cnc(OC)c(NS(=O)(=O)c2ccco2)c1,0,1,0,0
COc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1cnn(C)c1,0,1,0,0
Cc1ncc(C#Cc2c(C)ncnc2N2CCOCC2)cc1NS(=O)(=O)c1cnn(C)c1,0,1,0,0
NC(=O)[C@@H](C1CC1)n1cc(-c2cc3c4c(c2)nc(-c2ccc5oc(N)nc5c2)n4CCCO3)cn1,0,1,0,0
C[C@H](CO)n1c(=O)n(C)c2cnc3ccc(-c4c[nH]c5nncc-5c4)nc3c21,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(C)=O)CC2)c(=O)n4C)cn1,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4sc(N)nc4c1)n3CCCO2)C1CC1,0,1,0,0
CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCNCC2)c(=O)n4C)cn1,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](O)CC2)c(=O)n4C)cn1,0,1,0,0
COc1ccc(NC(=O)c2cc(C)cc3c(N)nc(C)nc23)cn1,0,1,0,0
Cc1ccc(NC(=O)c2cccc3c(N)nc(C)nc23)cn1,0,1,0,0
Cc1cc(C(=O)Nc2ccc(C)nc2)c2nc(C)nc(N)c2c1,0,1,0,0
CC[C@H](Oc1ccc2c(c1)OCCn1cc(-c3ncnn3C(C)C)nc1-2)C(N)=O,0,1,0,0
CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CO)CC2)c(=O)n4C)cn1,0,1,0,0
COc1ccc(-c2ccc3ncc4[nH]c(=O)n([C@H]5CC[C@H](O)CC5)c4c3n2)cn1,0,1,0,0
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cccc6[nH]ncc56)nc4c32)CC1,0,1,0,0
Cn1c(=O)n(C2CCOCC2)c2c3nc(-c4cnc(N)nc4)ccc3ncc21,0,1,0,0
Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CO)CC2)c(=O)n4C)cn1,0,1,0,0
CCC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(O[C@@H](C(N)=O)C3CC3)cc1OCC2,0,1,0,1
Nc1nc2cc(-c3nc4cc(N[C@H]5C[C@H](F)C5)cc5c4n3CCCO5)ccc2o1,0,1,0,0
Cn1c(=O)n(C2CCN(C(=O)C(C)(C)O)CC2)c2c3nc(-c4cnc5ccccc5c4)ccc3ncc21,0,1,0,0
COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,0,1,0,0
Cn1c(=O)n(C2CCN(C(=O)CO)CC2)c2c3nc(-c4cccc5[nH]ncc45)ccc3ncc21,0,1,0,0
C[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4oc(N)nc4c1)n3CCCO2)C(N)=O,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncc(N4CCC(F)(F)CC4)nc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
CN(C(=O)c1cc2c(s1)-c1ccc(-c3cn[nH]c3)cc1OCC2)c1ccccc1Cl,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4nc(N)sc4c1)n3CCCO2)C1CC1,0,1,0,0
Nc1nc2cc(-c3nc4cc(-c5cnn(CCO)c5)cc5c4n3CCCO5)ccc2o1,0,1,0,0
COc1ccc(-c2ccc3ncc4[nH]c(=O)n([C@H]5CC[C@H](OCCO)CC5)c4c3n2)cn1,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4C)cn1,0,1,0,0
CN(C)c1ccc(-c2ccnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc23)cc1,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4nc(N)nn4c1)n3CCCO2)C1CC1,0,1,0,0
NC(=O)[C@H](Oc1cc2c3c(c1)nc(-c1ccc(-c4ncn[nH]4)c(F)c1)n3CCCCO2)C1CC1,0,1,0,0
C[C@H](O)C(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cccc6[nH]ncc56)nc4c32)CC1,0,1,0,0
COC[C@@H](Oc1cc2c3c(c1)nc(-c1ccc4nc(N)sc4n1)n3CCCCO2)C(N)=O,0,1,0,0
Cn1cc(-c2cc3c4c(c2)nc(-c2ccc5oc(N)nc5c2)n4CCCO3)cn1,0,1,0,0
C[C@@H](Oc1cc2c3c(c1)nc(-c1ccc4sc(N)nc4c1)n3CCCCO2)C(N)=O,0,1,0,0
CNC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncc(NCC4CCCCC4)nc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncc(NCCc4ccccc4)nc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
CC[C@@H](Oc1cc2c3c(c1)nc(-c1ccc4oc(N)nc4c1)n3CCCO2)C(N)=O,0,1,0,0
COCCN1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1,0,1,0,0
COC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccnc6[nH]ncc56)nc4c32)CC1,0,1,0,0
Cn1c(=O)n(C2CCN(C(=O)CO)CC2)c2c3nc(-c4ccnc5[nH]ncc45)ccc3ncc21,0,1,0,0
Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(CC(N)=O)CC2)c(=O)n4C)cn1,0,1,0,0
CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(OCC(N)=O)cc1OCC2,0,1,0,0
COCCNc1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncc(N4CCCCC4)nc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3nccc(N4CCC(O)CC4)c3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
COCC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(C)nc5)nc4c32)CC1,0,1,0,0
CC(C)(O)Cn1cc(-c2ccc3c(c2)OCCc2sc(N4C(=O)OCC4(C)C)nc2-3)cn1,0,1,1,1
COc1ncc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](O)CC2)c(=O)n4C)cn1,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4nc(N)oc4c1)n3CCCO2)C1CC1,0,1,0,0
O=S(=O)(Nc1cc(-c2cnc3ccc(-c4cccnc4)cn23)cnc1Cl)c1ccc(F)cc1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3nccc(N4CCN(Cc5ccccc5)CC4)c3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
COCCN(C)c1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,0,1,0,0
OCCn1cc(-c2ccc3c(c2)OCCn2cc(-c4ncnn4CC(F)(F)F)nc2-3)cn1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncc(-c4ccncc4)nc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
Cc1nc(N)c2cccc(C(=O)Nc3cnc4[nH]ccc4c3)c2n1,0,1,0,0
COC(C)(C)c1cc2nc(-c3cnc(N)nc3)nc(N3CCOCC3)c2s1,0,1,0,0
COC(=O)Nc1ccc2c(c1)OCCc1cc(-c3nncn3-c3ccccc3Cl)sc1-2,0,1,0,0
CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(O[C@@H](C)C(N)=O)cc1OCC2,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncc(N4C[C@H]5CC[C@H](CC5)C4)nc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
COc1ncc(Nc2ncc([C@@H](C)N3CCN(S(C)(=O)=O)C[C@@H]3C)cc2-c2nc(C)nc(N)n2)cc1F,0,1,1,1
COc1ncc(Nc2ncc([C@@H](C)N3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc3nc[nH]c23)cc1F,0,1,0,0
COc1ncc(Nc2ncc([C@@H](C)N3CCN(S(C)(=O)=O)C[C@@H]3C)cc2-c2cc(N)nc(C)n2)cc1F,0,1,0,0
CN(C)S(=O)(=O)Nc1cc(-c2cnc3ccc(-c4ccncc4)cn23)cnc1Cl,0,1,0,0
CN(C)S(=O)(=O)Nc1cc(-c2cnc3ccc(-c4ccnc(C(F)(F)F)c4)cn23)cnc1Cl,0,1,0,0
COc1ncc(Nc2ncc(C(C)c3ccc(S(C)(=O)=O)cc3)cc2-c2nc(C)nc(N)n2)cc1F,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4cccc(C(C)(C)C)c4)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4)c3)cc2s1,0,1,0,0
COc1ccc(S(=O)(=O)Nc2cc(-c3ccc4nc(NC(C)=O)sc4c3)cnc2Cl)cc1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4F)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4cccc(Cl)c4)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4Cl)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(F)(F)F)cc4)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4C(F)(F)F)c3)cc2s1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4cccc(C(F)(F)F)c4)c3)cc2s1,0,1,0,0
NC(=O)[C@H](Oc1cc2c3c(c1)nc(-c1cc(F)c4nc(N)sc4c1)n3CCCCO2)C1CC1,0,1,0,0
Cc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](O)CC2)c(=O)n4C)cn1,0,1,0,0
C[C@H](O)C(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccnc6[nH]ncc56)nc4c32)CC1,0,1,0,0
Cc1ccc(S(C)(=O)=O)c(-c2nc3cc(F)cc(F)c3c(N3CC(C)(C)c4ncc(N5CCOCC5)cc43)c2C)c1,0,1,1,0
CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(N)=O)CC2)c(=O)n4C)cn1,0,1,0,0
CC(C)C(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
Cn1c(=O)n([C@H]2CC[C@H](OCCO)CC2)c2c3nc(-c4cnc5ccccc5c4)ccc3ncc21,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4cccc(F)c4)c3)cc2s1,0,1,0,0
Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCOCC2)c(=O)n4C)cn1,0,1,0,0
CNC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(OC)nc5)nc4c32)CC1,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccc4nccnc4c1)n3CCCO2)C1CC1,0,1,0,0
COc1ccc(S(=O)(=O)Nc2cc(-c3ccc4nc(NC(C)=O)sc4c3)cnc2C)cc1,0,1,0,0
CC(=O)Nc1cn2cc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,0,1,0,0
Cn1c(=O)n([C@H]2CC[C@H](O)CC2)c2c3nc(-c4cnc5ccccc5c4)ccc3ncc21,0,1,0,0
CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N)cc1OCC2,0,1,0,0
CN(C(=O)c1cc2c(s1)-c1ccc(C(N)=O)cc1OCC2)c1ccccc1Cl,0,1,0,0
Cc1c(N2CCC2=O)nc2cc(F)cc(F)c2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,0,1,0,0
CC[C@@H](Oc1cc2c3c(c1)nc(-c1ccc(-c4nc[nH]n4)cc1)n3CCCCO2)C(N)=O,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3nccc(-c4ccccc4)c3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N3CCCC3)cc1OCC2,0,1,0,0
Nc1nc2cc(-c3nc4cc(N[C@H]5C[C@@H](F)C5)cc5c4n3CCCO5)ccc2o1,0,1,0,0
Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCS(=O)(=O)CC2)c2ccc(N3CCOCC3)cc21,0,1,0,0
CCOC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
COC1CCN(c2cnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc3n2)CC1,0,1,0,0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3)cc2s1,0,1,0,0
CN(Cc1ccccc1)c1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,0,1,0,0
COc1ccc(S(=O)(=O)Nc2cc(-c3ccc4nc(NC(C)=O)sc4c3)cnc2C#N)cc1,0,1,0,0
Cc1c(N2CC(C)(C)CCC2=O)nc2cc(F)cc(F)c2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,0,1,0,0
COC(=O)Nc1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccccc3Cl)sc1-2,0,1,0,0
Cc1ccc(S(C)(=O)=O)c(-c2nc3cc(F)cc(F)c3c(N3CC4(CCOCC4)c4ncc(N5CCOCC5)cc43)c2C)c1,0,1,0,0
Cc1c(N2CCOC(C)(C)C2)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,0,1,0,0
Cc1c(N2CCCC2=O)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccn4ncnc4c1)n3CCCO2)C1CC1,0,1,0,0
COc1ccc(S(=O)(=O)Nc2cncc(-c3ccc4nc(NC(C)=O)sc4c3)c2)cc1,0,1,0,0
Cn1c(=O)n(C2CCNCC2)c2c3nc(-c4cnc(N)nc4)ccc3ncc21,0,1,0,0
C[C@H](Oc1cc2c3c(nc(-c4ccc5oc(N)nc5c4)n3CCCO2)c1F)C(N)=O,0,1,0,0
Cc1c(N2CCCCC2=O)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,0,1,0,0
CCc1cc(-c2nc3cc(N4CCC[C@H]4C(N)=O)cc4c3n2CCCO4)cc2nc(N)oc12,0,1,0,0
Nc1nc2cc(-c3nc4cc(NC5CC(F)(F)C5)cc5c4n3CCCO5)ccc2o1,0,1,0,0
Cc1ccc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,0,1,0,0
CN(C)c1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,0,1,0,0
N#Cc1c(N2CCOCC2)sc(-c2nnc[nH]2)c1-c1ccc(Cl)cc1,0,1,0,0
C[C@@H](Oc1cc2c3c(c1)nc(-c1ccc4nc(N)sc4c1F)n3CCCCO2)C(N)=O,0,1,0,0
Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(CCO)CC2)c(=O)n4C)cn1,0,1,0,0
N#Cc1c(N2CCOCC2)sc(-c2cc[nH]n2)c1-c1ccc(Cl)cc1,0,1,0,0
CC(C)N1CCN(c2ccnc3ccc(-c4cnc(Cl)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc23)CC1,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)[C@H](C)O)CC2)c(=O)n4C)cc1,0,1,0,0
COc1ccc(-c2ccc3ncc4[nH]c(=O)n(-c5ccc(C(C)(C)C#N)cc5)c4c3n2)cn1,0,1,0,0
C[C@H]1COCCN1c1nc(-c2cnc(N)nc2C(F)F)nc(N2CCOCC2)n1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3nccc(N4CCCCC4)c3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
Cc1nc(N)nc(-c2cc(CN3CCOCC3)cnc2Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)n1,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CO)CC2)c(=O)n4C)cc1,0,1,0,0
CNC(=O)Nc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)[C@H](C)O)CC2)c(=O)n4C)cc1,0,1,0,0
NC(=O)[C@@H]1COCCN1c1cc2c3c(c1)nc(-c1ccc4nc(N)sc4c1)n3CCCCO2,0,1,0,0
Cc1ccnc(-c2nc3cc(F)ccc3c(N3CCS(=O)(=O)c4ncc(N5CCOCC5)cc43)c2C)c1,0,1,0,0
CNC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(C)nc5)nc4c32)CC1,0,1,0,0
O=S(=O)(Nc1cc(-c2cnc3ccc(-c4ccncc4)cn23)cnc1Cl)c1ccc(F)cc1,0,1,0,0
Cc1nc(N)nc(-c2cc(C3CCOCC3)cnc2Nc2cnc(Cl)c(NS(C)(=O)=O)c2)n1,0,1,0,0
CC(C)(O)c1nc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2n1CCO,0,1,1,0
COc1ncc(Nc2ncc(CN3CCN(S(C)(=O)=O)C[C@@H]3C)cc2-c2nc(C)nc(N)n2)cc1F,0,1,1,1
COc1ncc(Nc2ncc(C(C)(C)N3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cc1F,0,1,1,1
COc1ncc(Nc2ncc([C@@H](C)N3CCN(S(C)(=O)=O)CC3)cc2-c2cc(N)nc(C)n2)cc1F,0,1,0,0
COc1ncc(Nc2ncc(CN3CCN(S(C)(=O)=O)C[C@H]3C)cc2-c2nc(C)nc(N)n2)cc1F,0,1,1,1
COc1ncc(Nc2ncc([C@@H](C)N3CCN(S(C)(=O)=O)C[C@@H]3C)cc2-c2nc(C)nc(N)n2)cn1,0,1,0,0
COc1ncc(Nc2ncc(Cc3ccc(S(C)(=O)=O)cc3)cc2-c2nc(C)nc(N)n2)cc1F,0,1,0,0
COc1ncc(Nc2ncc(C(C)N3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cc1F,0,1,0,0
C[C@H]1COCCN1c1cc(-c2cnc(N)nc2C(F)F)nc(N2CCOCC2)n1,0,1,0,0
Cc1nc(N)nc(-c2cccnc2Nc2ccc(NC(=O)Nc3ccccc3)nc2)n1,0,1,0,0
COc1ccc(Nc2ncc(Cc3ccc(S(C)(=O)=O)cc3)cc2-c2nc(C)nc3nc[nH]c23)cn1,0,1,0,0
CC1(C)OCCn2c1nc1c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0,1,0,0
Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2nc3n(c2n1)CCOC3(C)C,0,1,0,0
COC1(c2sc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nc3c2C)COC1,0,1,0,0
COc1cccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)[C@H](C)O)CC2)c(=O)n4C)c1,0,1,0,0
CNc1nc2cc(-c3nc4cc(N[C@@H](C)C(N)=O)cc5c4n3CCCO5)ccc2o1,0,1,0,0
COc1ncc(-c2ccc3ncc4c(c3n2)n([C@H]2CC[C@H](OCCO)CC2)c(=O)n4C)cn1,0,1,0,0
CC[C@H](Oc1cc2c3c(c1)nc(-c1ccc4oc(N)nc4c1)n3CCCCO2)C(=O)O,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncccc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
CN(C)CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N(C)C)nc5)nc4c32)CC1,0,1,0,0
C[C@H](Oc1cc2c3c(c1)nc(-c1ccc4nc(N)sc4c1)n3CCCO2)C(N)=O,0,1,0,0
CNC(=O)Nc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CO)CC2)c(=O)n4C)cc1,0,1,0,0
Nc1ncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c(C(F)F)n1,0,1,0,0
N[C@H]1CC[C@H](n2c(=O)[nH]c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
COc1cccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CO)CC2)c(=O)n4C)c1,0,1,0,0
Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CCS(=O)(=O)c2ncc(N3CCOCC3)cc21,0,1,0,0
COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)CN(C)C)CC2)c(=O)n4C)cn1,0,1,0,0
C[C@H](Oc1cc2c3c(c1)nc(-c1ccc4oc(N)nc4c1)n3CCCCO2)C(=O)O,0,1,0,0
Cc1c(-c2cncc(F)c2)nc2ncccc2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,0,1,0,0
C[C@@H]1Cn2c(-c3ccc4oc(N)nc4c3)nc3cc(O[C@H](C)C(N)=O)cc(c32)O1,0,1,0,0
Cc1c(N2CC(C)(C)CC2=O)nc2cc(F)cc(F)c2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,0,1,0,0
Cc1c(-c2cccc(F)c2)nc2ncccc2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,0,1,0,0
COc1cccc(Cc2nc3cc(F)cc(F)c3c(N3CC(C)(C)c4ncc(N5CCOCC5)cc43)c2C)c1,0,1,0,0
COc1ncc(-c2ccc3ncc4c(c3n2)n(-c2ccc(C(C)(C)C#N)cc2)c(=O)n4C)cc1F,0,1,0,0
Cc1ccnc(-c2nc3ncccc3c(N3CC(C)(C)c4ncc(N5CCOCC5)cc43)c2C)c1,0,1,0,0
Cc1c(N2CCCC2=O)nc2cc(F)cc(F)c2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,0,1,0,0
COc1ccc(-c2ccc3ncc4[nH]c(=O)n(Cc5ccccc5)c4c3n2)cn1,0,1,0,0
O=c1[nH]c2cnc3ccc(-c4cnc5ccccc5c4)nc3c2n1C1CCNCC1,0,1,0,0
Cc1c(-c2ccccc2S(C)(=O)=O)nc2cc(F)ccc2c1N1CC(C)(C)c2ncc(-c3ccnc(N)n3)cc21,0,1,0,0
CNC(=O)c1ccc(N(C)C(=O)c2cc3c(s2)-c2ccc(C(=O)NC)cc2OCC3)c(Cl)c1,0,1,0,0
CN(C)CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6ccccc6c5)nc4c32)CC1,0,1,0,0
COc1ncc(-c2ccc3ncc4c(c3n2)n(C2CCN(C(=O)[C@H](C)O)CC2)c(=O)n4C)cn1,0,1,0,0
O=S(=O)(Nc1cc(-c2ccc3ncncc3c2)cnc1Cl)c1ccc(F)cc1,0,1,0,0
NC(=O)[C@@H](Nc1cc2c3c(c1)nc(-c1ccn4nccc4n1)n3CCCO2)C1CC1,0,1,0,0
Cc1c(Cc2cccc(C#N)c2)nc2cc(F)cc(F)c2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21,0,1,0,0
Cc1nc2c(Cl)cccc2c(N2CC3(CCOCC3)c3ncc(N4CCOCC4)cc32)c1C,0,1,0,0
